student_id,age,gender,sleep_hours,screen_time_hours,stress_level,study_hours,physical_activity,caffeine_intake,academic_pressure
S249,24,Male,5.1,10.5,High,2.8,Yes,4,Medium
S250,20,Male,7.7,9.2,Medium,3.1,Yes,1,High
S251,24,Female,7.1,6.6,Medium,5.0,No,0,Low
S252,25,Other,4.3,6.9,Medium,6.2,Yes,2,Low
S253,19,Other,4.4,11.4,High,2.1,No,3,Low
S254,18,Male,6.3,3.9,Medium,4.5,No,0,Low
S255,22,Male,8.4,10.8,Medium,5.6,No,1,Medium
S256,20,Other,4.3,8.0,High,3.1,Yes,4,High
S257,25,Male,8.3,12.0,Medium,5.7,No,3,Low
S258,18,Female,4.3,10.1,High,5.1,Yes,3,Medium
S259,25,Male,4.6,3.5,Medium,6.5,Yes,0,Low
S260,23,Male,8.1,10.9,Medium,7.1,No,3,Medium
S261,21,Male,7.0,2.1,Low,7.4,Yes,1,Medium
S262,25,Male,4.2,11.6,High,7.2,Yes,2,Medium
S263,21,Female,5.8,5.5,Medium,3.0,Yes,4,Medium
S264,25,Other,8.3,2.3,Low,2.4,Yes,1,Low
S265,24,Male,5.4,2.3,Medium,4.0,Yes,2,High
S266,18,Male,6.4,4.4,Medium,6.5,No,3,Low
S267,19,Other,7.9,9.8,Medium,6.4,Yes,0,Low
S268,24,Male,8.1,5.5,Medium,6.0,Yes,1,Low
S269,20,Female,8.3,10.8,Medium,7.0,No,0,Low
S270,22,Male,6.0,2.3,Medium,5.5,Yes,1,Low
S271,18,Other,7.6,3.2,Low,6.8,Yes,4,Medium
S272,21,Male,5.9,5.5,Medium,2.2,Yes,0,Medium
S273,23,Female,5.5,5.5,Medium,2.4,No,2,Low
S274,22,Male,5.4,12.0,High,2.7,No,2,Medium
S275,21,Male,7.3,5.5,Medium,2.6,Yes,4,Medium
S276,20,Male,6.1,10.5,Medium,3.7,No,0,Medium
S277,21,Female,6.2,8.9,Medium,3.9,Yes,3,Medium
S278,23,Female,8.9,3.4,Low,2.3,Yes,0,Medium
S279,21,Male,4.6,3.4,Medium,4.8,Yes,1,Medium
S280,19,Male,7.1,2.2,Low,2.1,Yes,2,Medium
S281,18,Male,6.9,9.8,Medium,3.8,Yes,4,High
S282,23,Other,8.8,10.2,Medium,7.3,Yes,0,Low
S283,21,Male,8.0,7.6,Medium,3.1,No,1,High
S284,20,Other,4.9,4.4,Medium,3.7,Yes,2,Low
S285,25,Female,7.7,3.9,Low,8.0,No,2,Medium
S286,23,Female,5.6,7.8,High,2.2,Yes,0,Medium
S287,19,Female,6.0,8.2,Medium,3.4,No,2,Medium
S288,19,Female,4.2,7.9,High,3.8,No,1,Medium
S289,18,Female,5.8,2.5,Medium,5.9,Yes,3,High
S290,23,Female,7.0,4.7,Low,2.8,Yes,2,High
S291,20,Male,6.6,7.5,Medium,3.2,No,3,High
S292,25,Male,5.4,2.4,Medium,3.1,Yes,4,High
S293,20,Other,5.2,8.7,High,8.0,No,4,Medium
S294,20,Other,6.9,7.7,Medium,5.0,No,2,Medium
S295,21,Other,5.3,3.8,Medium,2.5,No,2,High
S296,19,Other,7.1,9.1,Medium,7.1,No,2,Medium
S297,22,Female,8.9,8.7,Medium,3.2,No,1,Medium
S298,23,Female,7.8,8.6,Medium,2.6,Yes,1,Low
S299,25,Other,7.8,3.3,Low,4.7,No,3,High
S300,20,Other,7.5,3.1,Low,4.5,No,0,Medium
S301,22,Male,7.5,2.9,Low,5.1,No,0,Medium
S302,20,Other,6.0,11.3,Medium,2.2,No,4,Medium
S303,24,Male,7.0,4.0,Low,7.4,No,1,High
S304,18,Other,4.9,7.7,High,4.9,No,4,Low
S305,22,Other,5.4,4.5,Medium,7.7,Yes,4,High
S306,18,Male,4.9,5.9,Medium,6.6,No,2,High
S307,19,Other,5.4,8.6,High,2.9,Yes,2,Low
S308,22,Female,6.1,11.3,Medium,2.7,No,2,Medium
S309,20,Male,8.8,8.8,Medium,3.1,No,4,Medium
S310,23,Female,7.1,8.0,Medium,7.9,No,3,Medium
S311,23,Other,6.1,5.1,Medium,3.9,Yes,2,High
S312,24,Female,5.0,10.4,High,3.9,Yes,0,Low
S313,20,Male,4.5,11.7,High,3.0,Yes,1,Medium
S314,22,Male,6.9,6.1,Medium,6.7,No,1,Low
S315,22,Female,4.5,7.3,High,7.8,Yes,0,High
S316,22,Female,7.7,9.4,Medium,3.7,No,1,Medium
S317,18,Other,8.9,10.1,Medium,7.7,No,1,High
S318,19,Male,5.1,8.1,High,2.6,No,4,High
S319,20,Other,8.6,3.0,Low,7.4,Yes,3,High
S320,24,Female,7.3,5.4,Medium,3.4,Yes,2,Low
S321,22,Male,5.2,9.2,High,6.0,Yes,2,Low
S322,20,Female,6.2,5.9,Medium,6.0,Yes,4,High
S323,18,Female,8.1,9.3,Medium,6.8,Yes,1,High
S324,22,Female,6.8,6.1,Medium,5.9,Yes,1,Medium
S325,19,Other,5.1,5.4,Medium,7.3,No,3,Medium
S326,23,Other,5.3,11.8,High,3.1,Yes,2,Medium
S327,22,Female,4.9,8.5,High,4.7,Yes,3,Medium
S328,24,Male,4.4,8.5,High,5.5,No,0,Low
S329,20,Male,5.8,2.2,Medium,2.0,No,2,Low
S330,21,Other,7.9,9.0,Medium,2.2,Yes,0,High
S331,20,Male,7.0,2.7,Low,6.2,Yes,4,High
S332,21,Other,7.7,8.4,Medium,4.2,No,0,Low
S333,21,Other,5.8,3.6,Medium,2.4,Yes,4,Low
S334,22,Female,8.8,5.7,Medium,5.8,Yes,2,Medium
S335,19,Female,7.3,4.2,Low,6.7,No,3,Medium
S336,18,Female,8.6,7.2,Medium,5.5,No,1,High
S337,24,Female,5.1,9.6,High,4.1,No,4,High
S338,18,Male,4.4,4.8,Medium,7.3,No,0,Medium
S339,25,Male,4.0,6.4,Medium,2.7,Yes,0,Low
S340,18,Other,8.6,2.1,Low,5.7,No,2,Low
S341,24,Other,6.8,7.3,Medium,5.0,Yes,1,Medium
S342,24,Female,7.4,7.1,Medium,7.9,No,0,Medium
S343,21,Other,5.8,9.2,High,2.8,No,2,High
S344,21,Female,8.7,3.9,Low,7.4,Yes,3,Medium
S345,23,Other,8.9,7.0,Medium,2.8,No,0,Low
S346,21,Male,6.9,7.4,Medium,3.7,Yes,2,Medium
S347,22,Female,6.3,8.4,Medium,3.3,No,3,Low
S348,25,Female,7.4,9.8,Medium,6.0,No,1,Medium
S349,20,Female,6.2,3.4,Medium,3.3,No,4,High
S350,23,Female,6.2,8.5,Medium,6.4,Yes,3,Low
S351,24,Female,8.8,2.4,Low,6.8,Yes,4,Low
S352,23,Other,5.5,12.0,High,5.0,Yes,1,High
S353,22,Male,6.7,3.7,Medium,3.0,No,4,Medium
S354,24,Other,9.0,10.3,Medium,7.1,No,3,High
S355,25,Other,6.5,12.0,Medium,6.9,No,0,Medium
S356,20,Male,8.9,5.7,Medium,4.8,No,4,Low
S357,19,Male,8.9,6.1,Medium,3.8,No,3,Low
S358,18,Male,4.9,5.0,Medium,6.7,No,2,High
S359,21,Male,8.1,9.8,Medium,7.1,Yes,0,Low
S360,21,Female,5.7,9.0,High,3.7,Yes,2,Low
S361,21,Female,7.3,5.0,Medium,4.9,No,2,Medium
S362,19,Other,7.4,7.5,Medium,5.8,Yes,2,High
S363,18,Male,8.9,5.8,Medium,2.9,No,2,Medium
S364,19,Female,6.0,11.8,Medium,7.4,Yes,1,Medium
S365,25,Other,8.8,7.8,Medium,4.6,No,4,Medium
S366,22,Female,5.8,7.6,High,4.6,Yes,2,Medium
S367,21,Female,5.4,8.1,High,3.5,No,0,High
S368,23,Female,4.3,6.2,Medium,4.7,No,1,Medium
S369,21,Male,5.0,8.2,High,6.9,No,2,High
S370,24,Other,5.6,11.2,High,2.2,Yes,2,Low
S371,18,Other,4.5,8.7,High,7.1,No,2,Medium
S372,21,Other,8.8,5.7,Medium,3.6,No,2,Medium
S373,24,Other,5.8,6.1,Medium,5.3,Yes,3,High
S374,20,Female,6.8,9.2,Medium,5.9,Yes,0,High
S375,20,Female,4.5,5.4,Medium,2.3,No,2,Medium
S376,25,Male,4.5,4.3,Medium,4.9,No,3,Medium
S377,23,Other,7.4,8.1,Medium,6.5,No,1,High
S378,20,Female,6.7,5.0,Medium,4.2,No,3,High
S379,24,Other,8.2,8.2,Medium,4.3,No,0,Medium
S380,18,Male,5.6,8.2,High,7.0,No,3,High
S381,24,Other,4.1,3.2,Medium,7.5,No,3,Low
S382,25,Other,6.3,11.0,Medium,7.5,Yes,1,Low
S383,19,Male,4.4,10.9,High,4.4,No,2,Medium
S384,21,Male,4.6,11.1,High,4.2,Yes,0,Medium
S385,23,Other,5.2,11.2,High,7.9,Yes,4,Low
S386,19,Female,5.2,6.1,Medium,6.6,No,4,High
S387,20,Male,8.7,8.8,Medium,4.6,No,4,Low
S388,23,Male,7.6,11.2,Medium,3.9,No,4,Low
S389,19,Female,7.0,3.5,Low,4.2,No,4,High
S390,25,Male,4.3,5.0,Medium,3.9,No,4,Medium
S391,23,Male,6.5,11.4,Medium,6.3,No,2,High
S392,21,Other,6.9,3.8,Medium,5.1,Yes,4,High
S393,18,Female,7.3,3.6,Low,3.1,Yes,1,Medium
S394,20,Other,8.1,8.9,Medium,3.9,No,3,Low
S395,24,Other,7.8,5.4,Medium,2.4,Yes,2,Low
S396,22,Female,7.4,10.9,Medium,3.0,No,2,Low
S397,22,Other,4.9,9.5,High,2.4,No,3,Low
S398,25,Male,6.8,2.4,Medium,4.4,Yes,3,High
S399,22,Female,7.6,7.2,Medium,4.2,No,0,Low
S400,19,Male,6.1,9.3,Medium,5.3,No,0,Low
S401,21,Female,4.1,8.5,High,2.6,Yes,1,High
S402,20,Other,4.5,3.3,Medium,5.9,Yes,3,High
S403,21,Male,5.0,9.5,High,6.1,Yes,1,Medium
S404,18,Other,6.3,6.2,Medium,4.8,No,4,High
S405,25,Female,7.6,5.0,Medium,5.3,Yes,2,Low
S406,22,Female,5.6,5.6,Medium,7.7,Yes,0,Medium
S407,20,Other,5.9,9.3,High,5.2,Yes,2,High
S408,23,Other,6.2,11.6,Medium,6.1,Yes,0,Medium
S409,25,Female,5.2,2.6,Medium,6.8,Yes,4,Low
S410,19,Female,5.2,7.8,High,5.7,Yes,0,High
S411,19,Other,7.0,12.0,Medium,6.7,No,4,High
S412,18,Female,4.2,11.2,High,3.0,No,1,Medium
S413,24,Other,6.0,6.6,Medium,6.5,Yes,3,Low
S414,22,Other,4.6,4.4,Medium,4.3,Yes,4,High
S415,23,Female,4.8,8.0,High,5.7,No,1,Medium
S416,18,Female,7.8,3.6,Low,2.5,No,1,Low
S417,20,Other,5.5,9.5,High,3.0,No,0,High
S418,23,Other,6.3,2.6,Medium,7.0,No,2,High
S419,21,Male,6.6,11.9,Medium,2.5,Yes,0,Low
S420,18,Other,6.6,9.4,Medium,2.4,No,4,Medium
S421,18,Male,7.3,8.9,Medium,4.1,No,4,Low
S422,18,Female,5.0,8.2,High,7.5,No,3,Low
S423,21,Other,4.1,8.6,High,7.0,Yes,1,High
S424,25,Male,8.9,6.5,Medium,5.5,No,0,High
S425,23,Female,5.4,2.8,Medium,4.4,Yes,4,Medium
S426,18,Female,8.5,9.7,Medium,3.0,No,4,Low
S427,19,Male,7.3,7.2,Medium,3.6,No,4,Low
S428,25,Male,7.3,2.6,Low,6.9,Yes,2,High
S429,24,Other,5.6,11.9,High,4.7,No,3,Medium
S430,19,Male,6.8,3.1,Medium,5.2,No,1,Medium
S431,23,Male,8.0,5.7,Medium,2.6,Yes,3,Low
S432,24,Other,4.6,6.8,Medium,6.4,Yes,0,Low
S433,20,Female,6.5,7.2,Medium,6.2,Yes,1,Medium
S434,22,Other,7.6,11.6,Medium,6.3,Yes,3,Medium
S435,19,Male,7.1,7.3,Medium,4.4,Yes,2,Medium
S436,19,Other,4.8,5.4,Medium,6.8,No,1,Medium
S437,19,Male,5.6,6.5,Medium,5.1,No,0,High
S438,25,Other,5.0,3.1,Medium,2.6,No,4,Low
S439,18,Female,8.6,2.7,Low,6.7,No,1,Medium
S440,18,Female,7.8,4.4,Low,6.7,Yes,4,Low
S441,23,Male,6.3,3.9,Medium,3.6,Yes,0,Medium
S442,19,Male,4.6,8.9,High,6.4,Yes,2,Low
S443,19,Female,7.1,2.8,Low,6.1,No,0,Medium
S444,19,Other,4.9,9.0,High,5.0,No,1,Low
S445,23,Male,5.5,9.3,High,3.5,No,2,Low
S446,25,Male,4.7,9.9,High,7.5,No,1,Low
S447,19,Other,5.7,2.4,Medium,7.0,Yes,1,Low
S448,22,Other,8.8,3.2,Low,4.4,No,1,Low
S449,24,Other,7.5,7.7,Medium,2.3,Yes,4,Low
S450,20,Male,8.1,9.9,Medium,7.1,No,3,Low
S451,23,Other,7.8,10.9,Medium,6.6,No,2,High
S452,22,Other,9.0,2.7,Low,2.3,No,3,Medium
S453,24,Male,6.1,5.9,Medium,2.7,No,0,Medium
S454,21,Other,4.2,5.3,Medium,3.9,No,0,Medium
S455,22,Female,4.3,5.7,Medium,2.7,No,3,High
S456,25,Male,8.6,5.4,Medium,6.1,Yes,0,Medium
S457,21,Male,6.3,11.9,Medium,6.9,Yes,1,Low
S458,19,Male,6.9,10.4,Medium,7.9,No,2,High
S459,23,Male,8.9,6.0,Medium,7.7,Yes,2,High
S460,20,Female,8.8,7.4,Medium,5.6,Yes,0,Low
S461,21,Male,4.7,5.2,Medium,7.6,No,0,High
S462,19,Male,4.6,2.3,Medium,2.0,No,2,High
S463,20,Male,6.0,9.1,Medium,7.9,No,0,Medium
S464,18,Female,7.9,9.4,Medium,3.9,Yes,0,High
S465,23,Male,8.0,2.6,Low,3.1,No,0,High
S466,25,Other,4.8,10.4,High,4.6,No,3,Low
S467,22,Female,5.0,8.9,High,4.6,Yes,1,Medium
S468,24,Male,4.2,5.9,Medium,2.8,Yes,0,Low
S469,20,Female,6.0,3.3,Medium,5.3,Yes,2,High
S470,18,Male,5.4,10.6,High,5.9,No,0,Medium
S471,23,Female,5.7,2.0,Medium,6.5,Yes,2,High
S472,18,Male,4.4,9.9,High,4.3,No,2,Low
S473,19,Female,8.0,8.5,Medium,6.8,No,3,Low
S474,22,Female,6.1,8.4,Medium,5.4,No,4,High
S475,21,Male,7.8,7.9,Medium,2.6,Yes,1,Low
S476,21,Male,4.7,7.1,High,6.6,No,1,High
S477,24,Female,5.3,6.7,Medium,6.5,No,0,Medium
S478,24,Female,6.2,11.3,Medium,6.5,Yes,2,Medium
S479,24,Female,8.3,8.3,Medium,3.9,Yes,2,Medium
S480,18,Other,7.6,2.2,Low,6.7,No,4,High
S481,20,Male,7.8,6.3,Medium,7.9,No,0,Medium
S482,25,Male,7.7,7.6,Medium,3.5,Yes,2,High
S483,22,Other,6.2,7.5,Medium,5.8,Yes,3,Medium
S484,23,Male,7.3,5.0,Medium,6.9,No,3,High
S485,23,Male,7.9,5.0,Medium,3.8,Yes,4,Medium
S486,18,Female,5.2,4.6,Medium,5.8,No,1,Low
S487,24,Female,4.9,4.6,Medium,2.6,Yes,2,Low
S488,20,Other,7.2,5.8,Medium,6.9,No,4,High
S489,22,Other,5.4,8.8,High,6.4,No,2,Low
S490,22,Male,7.1,5.8,Medium,5.6,Yes,3,Low
S491,22,Other,7.9,5.8,Medium,6.3,No,0,High
S492,22,Other,5.9,4.7,Medium,3.1,No,2,Low
S493,25,Other,7.6,10.0,Medium,3.3,No,4,Medium
S494,23,Male,5.9,10.9,High,3.3,Yes,0,Low
S495,18,Female,7.3,5.3,Medium,3.3,Yes,0,Low
S496,20,Female,6.1,4.0,Medium,7.7,No,3,High
S497,19,Female,7.9,4.0,Low,6.1,No,3,Medium
S498,25,Other,4.7,2.3,Medium,4.3,Yes,3,High
S499,18,Other,6.1,8.2,Medium,4.6,Yes,0,Low
S500,21,Female,5.3,11.2,High,4.3,Yes,4,Low
